序号,证券代码,公司名称,Company Name,行业
1,2,万科,China Vanke A,房地产
2,601360,三六零,SJEC Corp,信息技术
3,600104,上汽集团,SAIC Motor Corp,汽车
4,600018,上港集团,Shanghai International Port,交通运输
5,600030,中信证券,CITIC Securities,金融业
6,601998,中信银行,China Citic Bank A,银行业
7,601766,中国中车,CRRC A,交通运输
8,601390,中国中铁,China Railway A,重工
9,601800,中国交建,China Communications Construction,重工
10,601628,中国人寿,China Life Insurance A,保险业
11,601601,中国太保,China Pacific Insurance,保险业
12,601318,中国平安,Ping An Insurance,保险业
13,601668,中国建筑,China State Construction,重工
14,600028,中国石化,China Petrol A,石油化工
15,601857,中国石油,PetroChina A,石油化工
16,601088,中国神华,China Shenhua Energy SH,煤
17,600050,中国联通,China United Network Comm,电讯
18,601186,中国铁建,China Railway Construction,重工
19,601988,中国银行,Bank of China A,银行业
20,858,五粮液,Wuliangye A,酿酒
21,601328,交通银行,Bank of Communications Co Ltd,银行业
22,600887,伊利股份,Inner Mongolia Yili,食品
23,600048,保利地产,Poly Real Estate Group,房地产
24,601818,光大银行,China Everbright Bank,银行业
25,601166,兴业银行,Industrial Bank,银行业
26,601288,农业银行,Agricultural Bank China A,银行业
27,601169,北京银行,Bank of Beijing,银行业
28,601211,国泰君安,Guotai Junan Securities,金融业
29,600019,宝钢股份,Baoshan Iron &amp; Steel,钢铁
30,601138,工业富联,Foxconn Industrial Internet,电讯
31,601398,工商银行,ICBC,银行业
32,1,平安银行,Ping An Bank A,银行业
33,601939,建设银行,China Construction Bank Co,银行业
34,600276,恒瑞医药,Jiangsu Hengrui,医疗
35,1979,招商蛇口,China Merchants Shekou,房地产
36,600036,招商银行,China Merchants Bank,银行业
37,601336,新华保险,New China Life Insurance,保险业
38,651,格力电器,Gree Electric A,家电
39,600016,民生银行,China Minsheng Banking,银行业
40,2304,洋河股份,Yanghe Brewery A,酿酒
41,600000,浦发银行,Pudong Development Bank,银行业
42,603288,海天味业,Foshan Haitian Food,食品
43,2415,海康威视,Hik Vision Digital A,电子
44,600585,海螺水泥,Anhui Conch Cement,建材
45,300498,温氏股份,Guangdong Wens Foodstuff,食品
46,333,美的集团,Midea Group A,家电
47,600519,贵州茅台,Kweichow Moutai,酿酒
48,300760,迈瑞医疗,Shenzhen Mindray Bio-Medical,医疗
49,600900,长江电力,China Yangtze Power,电力
50,2352,顺丰控股,S.F. Holding Co,物流
,,,,
Source:,www.investing.com,,,